date,description,amount,type
2026-06-01,SALARY - TECHMAHINDRA LTD,85000,CREDIT
2026-06-01,SWIGGY ORDER - BIRYANI,420,DEBIT
2026-06-02,ZOMATO ORDER - PIZZA,580,DEBIT
2026-06-02,UBER INDIA - OFFICE RIDE,235,DEBIT
2026-06-03,NETFLIX SUBSCRIPTION,649,DEBIT
2026-06-03,GOOGLE PLAY STORE,129,DEBIT
2026-06-04,AMAZON IN - ELECTRONICS,5499,DEBIT
2026-06-04,RELIANCE FRESH - GROCERIES,1850,DEBIT
2026-06-05,RENT PAYMENT - LANDLORD,18000,DEBIT
2026-06-05,DMART - MONTHLY STORE,3240,DEBIT
2026-06-06,INDIAN OIL PETROL BUNK,2100,DEBIT
2026-06-06,SWIGGY ORDER - BURGER,380,DEBIT
2026-06-07,SPOTIFY PREMIUM,199,DEBIT
2026-06-07,OLA CAB - AIRPORT DROP,650,DEBIT
2026-06-08,BOOKMYSHOW - MOVIE TICKETS,600,DEBIT
2026-06-08,ZOMATO ORDER - DINNER,720,DEBIT
2026-06-09,IGI AIRPORT - DUTY FREE,3400,DEBIT
2026-06-09,GOAIR FLIGHT TICKET,5200,DEBIT
2026-06-10,BESCOM ELECTRICITY BILL,2340,DEBIT
2026-06-10,AMAZON PRIME RENEWAL,1499,DEBIT
2026-06-11,JIO FIBER BROADBAND,999,DEBIT
2026-06-11,SWIGGY ORDER - LUNCH,340,DEBIT
2026-06-12,FREELANCE PROJECT PAYMENT,15000,CREDIT
2026-06-12,PHOENIX MALL SHOPPING,4200,DEBIT
2026-06-13,DOMINOS PIZZA,890,DEBIT
2026-06-13,PURPLE MARTINI RESTAURANT,2100,DEBIT
2026-06-14,OLIVE MEDICAL STORE,450,DEBIT
2026-06-15,URGENT MEDICAL VISIT,2500,DEBIT
2026-06-15,ZOMATO ORDER,460,DEBIT
2026-06-16,CULT FITNESS GYM MEMBERSHIP,2500,DEBIT
2026-06-16,CRED - CREDIT CARD BILL,12000,DEBIT
2026-06-17,LIC LIFE INSURANCE,4500,DEBIT
2026-06-17,BIGBASKET - GROCERIES,2100,DEBIT
2026-06-18,SWIGGY ORDER,520,DEBIT
2026-06-18,AMAZON IN - BOOKS,850,DEBIT
2026-06-19,UBER INDIA - OFFICE RIDE,190,DEBIT
2026-06-19,MORNING BREAKFAST,120,DEBIT
2026-06-20,DMART - WEEKLY STORE,1560,DEBIT
